sexo;comprimento;diametro;altura;peso total;peso carne;peso visceras;peso concha;aneis
I;0,36;0,27;0,1;15,42;0,11;0,05;0,08;7
M;0,55;0,44;0,15;12,44;0,33;0,19;0,26;15
M;0,53;0,44;0,16;13,31;0,32;0,16;0,34;15
M;0,53;0,42;0,14;12,26;0,31;0,17;0,21;10
M;0,61;0,47;0,16;1,24;0,5;0,24;0,35;12
F;0,52;0,41;0,16;1,97;0,29;0,18;0,24;12
F;0,55;0,43;0,17;13,42;0,29;0,18;0,28;11
F;0,5;0,4;0,13;10,88;0,26;0,13;0,22;10
F;0,51;0,39;0,14;1,28;0,23;0,18;0,2;9
F;0,44;0,4;0,11;1,33;0,14;0,1;0,13;9
M;0,5;0,4;0,13;10,04;0,24;0,13;0,16;9
M;0,47;0,36;0,11;1,17;0,17;0,11;0,18;9
I;0,44;0,32;0,08;13,48;0,15;0,06;0,11;9
M;0,43;0,35;0,11;1,27;0,13;0,06;0,17;9
F;0,55;0,41;0,13;1,15;0,3;0,15;0,21;11
F;0,53;0,42;0,12;1,28;0,23;0,16;0,18;11
F;0,49;0,38;0,14;1,59;0,26;0,1;0,22;11
M;0,44;0,34;0,11;18,09;0,13;0,1;0,17;10
F;0,56;0,43;0,15;2,5;0,35;0,17;0,31;9
M;0,41;0,31;0,09;1,77;0,11;0,06;0,09;8
F;0,47;0,37;0,11;1,23;0,16;0,1;0,14;9
I;0,39;0,3;0,09;14,23;0,1;0,06;0,09;7
F;0,52;0,43;0,14;1,03;0,3;0,17;0,26;14
M;0,37;0,27;0,08;1,19;0,09;0,05;0,07;6
I;0,36;0,28;0,08;1,02;0,08;0,05;0,07;6
I;0,27;0,2;0,06;10,74;0,03;0,02;0,03;5
I;0,38;0,28;0,09;1,72;0,11;0,05;0,07;6
I;0,39;0,29;0,09;1,57;0,11;0,06;0,08;8
M;0,7;0,54;0,16;17,61;0,63;0,26;0,54;19
M;0,71;0,54;0,17;1,79;0,77;0,26;0,78;18
M;0,6;0,48;0,17;1,34;0,48;0,28;0,41;17
F;0,44;0,35;0,13;17,35;0,18;0,06;0,13;9
F;0,33;0,26;0,09;11,78;0,09;0,04;0,06;7
I;0,35;0,26;0,1;1,08;0,09;0,06;0,07;7
I;0,27;0,2;0,07;11,09;0,04;0,02;0,03;7
F;0,43;0,33;0,12;11,41;0,16;0,08;0,14;8
F;0,31;0,23;0,08;11,05;0,07;0,03;0,05;7
M;0,35;0,26;0,09;12,39;0,09;0,03;0,06;9
F;0,41;0,33;0,11;10,33;0,15;0,06;0,12;9
M;0,38;0,29;0,1;13,14;0,1;0,06;0,09;9
F;0,57;0,45;0,16;1,35;0,34;0,21;0,25;10
F;0,55;0,45;0,15;1,01;0,3;0,14;0,27;10
M;0,65;0,52;0,19;15,02;0,52;0,31;0,45;16
M;0,56;0,46;0,16;1,07;0,34;0,19;0,24;11
M;0,48;0,38;0,13;10,92;0,21;0,12;0,17;10
F;0,49;0,38;0,13;1,02;0,25;0,11;0,17;10
M;0,46;0,35;0,12;10,48;0,22;0,11;0,16;10
I;0,28;0,21;0,08;1,04;0,05;0,04;0,04;9
I;0,18;0,13;0,06;1,1;0,01;0,01;0,01;5
I;0,17;0,13;0,1;1,89;0,01;0,01;0,01;4
M;0,59;0,48;0,15;14,39;0,44;0,26;0,33;15
F;0,61;0,5;0,19;12,92;0,47;0,26;0,34;9
F;0,64;0,52;0,19;1,22;0,51;0,31;0,45;10
F;0,61;0,49;0,16;13,91;0,37;0,24;0,36;10
F;0,57;0,45;0,14;1,39;0,39;0,15;0,31;12
M;0,52;0,41;0,13;17,45;0,32;0,13;0,21;10
F;0,58;0,46;0,19;14,39;0,39;0,24;0,34;13
M;0,65;0,49;0,22;1,35;0,55;0,26;0,64;16
F;0,58;0,46;0,17;1,76;0,37;0,21;0,29;13
F;0,58;0,46;0,17;18,08;0,3;0,18;0,44;13
M;0,61;0,47;0,17;10,12;0,42;0,25;0,34;13
F;0,61;0,49;0,16;12,42;0,53;0,26;0,28;13
M;0,61;0,49;0,18;10,6;0,54;0,3;0,35;12
F;0,73;0,56;0,21;1,07;0,65;0,4;1,01;18
F;0,65;0,55;0,23;12,9;0,56;0,29;0,82;16
M;0,73;0,57;0,19;12,64;10705;0,48;0,73;14
F;0,73;0,58;0,18;1,37;0,77;0,45;0,85;20
F;0,68;0,57;0,21;1,25;0,63;0,41;0,65;20
M;0,71;0,56;0,22;10,11;0,82;0,31;0,76;14
F;0,68;0,52;0,18;10,39;0,51;0,41;0,62;12
M;0,7;0,55;0,22;11,84;0,71;0,54;0,59;14
F;0,53;0,4;0,15;1,12;0,31;0,17;0,26;7
M;0,53;0,44;0,16;1,13;0,49;0,23;0,29;8
F;0,52;0,41;0,12;11,75;0,32;0,18;0,22;8
I;0,24;0,16;0,04;1,11;0,02;0,02;0,02;5
I;0,36;0,26;0,09;1,06;0,06;0,04;0,08;7
I;0,32;0,21;0,06;11,1;0,06;0,04;0,04;5
I;0,32;0,25;0,09;11,63;0,05;0,05;0,05;8
I;0,23;0,16;0,05;11,91;0,03;0,02;0,02;4
M;0,58;0,48;0,15;1,33;0,39;0,22;0,35;11
M;0,57;0,48;0,18;1,07;0,4;0,2;0,3;14
M;0,64;0,51;0,18;1,13;0,52;0,27;0,57;21
F;0,56;0,45;0,16;13,68;0,43;0,27;0,3;10
F;0,62;0,48;0,18;1,23;0,44;0,21;0,33;10
F;0,65;0,51;0,2;14,64;0,62;0,37;0,46;12
M;0,62;0,49;0,19;1,51;0,55;0,3;0,36;13
F;0,63;0,48;0,15;1,05;0,39;0,34;0,29;12
F;0,63;0,5;0,19;11,79;0,54;0,33;0,38;10
F;0,63;0,48;0,16;13,17;0,53;0,34;0,32;11
F;0,59;0,46;0,17;1,63;0,37;0,27;0,29;9
M;0,62;0,48;0,18;10,58;0,48;0,22;0,33;13
M;0,61;0,49;0,17;1,09;0,42;0,24;0,36;12
M;0,58;0,45;0,15;1;0,28;0,18;0,36;14
I;0,36;0,28;0,09;1,68;0,09;0,06;0,15;8
F;0,51;0,4;0,14;15,17;0,46;0,2;0,2;10
M;0,5;0,41;0,16;1,12;0,35;0,15;0,25;12
F;0,51;0,41;0,15;11,37;0,29;0,15;0,21;11
M;0,64;0,5;0,19;14,81;0,44;0,26;0,47;16
M;0,56;0,45;0,16;15,28;0,43;0,18;0,26;15
M;0,59;0,46;0,19;11,38;0,36;0,21;0,29;10
F;0,45;0,35;0,12;1,44;0,17;0,1;0,14;9
M;0,5;0,4;0,17;1,12;0,25;0,21;0,29;13
F;0,5;0,4;0,15;10,62;0,23;0,15;0,23;12
F;0,53;0,44;0,17;12,57;0,3;0,16;0,28;13
M;0,42;0,34;0,12;1,61;0,17;0,07;0,12;8
F;0,44;0,34;0,14;1,15;0,19;0,11;0,16;9
I;0,4;0,3;0,11;11,33;0,11;0,07;0,12;9
I;0,44;0,34;0,11;1,04;0,15;0,09;0,12;8
F;0,53;0,42;0,17;10,35;0,28;0,17;0,31;13
I;0,37;0,28;0,1;10,15;0,12;0,05;0,08;7
F;0,49;0,37;0,15;10,6;0,2;0,16;0,22;10
M;0,34;0,25;0,09;1,08;0,08;0,04;0,06;7
F;0,42;0,33;0,11;1,1;0,16;0,08;0,12;12
M;0,5;0,41;0,14;12,1;0,24;0,14;0,21;9
F;0,49;0,4;0,16;11,41;0,25;0,13;0,24;14
M;0,55;0,41;0,14;1,11;0,24;0,16;0,26;10
M;0,45;0,35;0,13;13,45;0,17;0,11;0,14;8
I;0,41;0,3;0,12;1,38;0,13;0,07;0,11;7
M;0,47;0,36;0,14;11,04;0,17;0,12;0,17;10
F;0,42;0,31;0,13;1,38;0,13;0,08;0,11;8
F;0,45;0,33;0,13;13,44;0,18;0,11;0,14;9
F;0,47;0,35;0,15;1,3;0,19;0,12;0,18;11
F;0,49;0,38;0,15;13,73;0,22;0,14;0,19;9
F;0,45;0,36;0,15;1,31;0,18;0,13;0,16;11
I;0,43;0,38;0,11;12,09;0,13;0,08;0,1;10
F;0,5;0,37;0,14;13,83;0,17;0,11;0,16;9
F;0,39;0,29;0,13;13,56;0,12;0,08;0,09;7
I;0,37;0,27;0,09;1,38;0,08;0,05;0,07;7
F;0,58;0,47;0,17;12,95;0,4;0,21;0,35;11
F;0,53;0,42;0,16;1,49;0,29;0,16;0,25;15
M;0,56;0,45;0,14;14,72;0,34;0,16;0,28;13
M;0,57;0,44;0,18;14,1;0,31;0,19;0,33;14
M;0,63;0,51;0,22;20,81;0,5;0,29;0,44;22
I;0,28;0,22;0,08;13,91;0,05;0,03;0,04;7
I;0,44;0,35;0,14;1,56;0,18;0,08;0,13;12
I;0,3;0,23;0,08;1,31;0,05;0,03;0,04;9
I;0,08;0,06;0,01;18,1;0;0;0;1
I;0,13;0,1;0,03;14,79;0;0;0;3
I;0,11;0,09;0,03;17,78;0;0;0;3
I;0,16;0,12;0,04;16,68;0,01;0;0,01;5
M;0,57;0,43;0,16;1,83;0,35;0,22;0,28;17
I;0,27;0,2;0,07;28,26;0,03;0,02;0,04;5
I;0,23;0,18;0,07;1,2;0,03;0,01;0,02;5
I;0,3;0,23;0,08;11,94;0,04;0,03;0,04;8
I;0,33;0,26;0,09;1,11;0,06;0,04;0,06;8
I;0,35;0,26;0,09;10,64;0,07;0,03;0,06;10
I;0,32;0,25;0,08;1,11;0,06;0,03;0,05;13
I;0,36;0,28;0,09;1,1;0,07;0,04;0,07;9
I;0,31;0,25;0,08;11,16;0,07;0,04;0,05;7
I;0,35;0,27;0,11;10,52;0,08;0,05;0,07;7
I;0,33;0,25;0,11;1,01;0,07;0,04;0,06;7
M;0,59;0,47;0,18;1,14;0,42;0,28;0,36;13
F;0,6;0,46;0,16;11,34;0,51;0,22;0,3;12
F;0,58;0,46;0,19;1,14;0,45;0,22;0,35;15
M;0,6;0,5;0,17;1,21;0,49;0,28;0,34;15
M;0,56;0,45;0,18;1,06;0,38;0,21;0,37;15
M;0,56;0,45;0,19;1,12;0,38;0,18;0,41;19
M;0,55;0,46;0,16;1,11;0,34;0,17;0,35;10
F;0,64;0,51;0,17;1,21;0,61;0,3;0,37;15
F;0,59;0,48;0,16;10,05;0,48;0,26;0,3;13
F;0,54;0,48;0,16;1,04;0,39;0,19;0,26;11
F;0,57;0,44;0,13;11,35;0,37;0,17;0,27;12
M;0,53;0,42;0,17;1,16;0,32;0,24;0,25;11
I;0,25;0,2;0,06;12,32;0,04;0,02;0,03;4
M;0,27;0,2;0,08;11,63;0,05;0,03;0,04;6
F;0,46;0,38;0,13;1,17;0,3;0,15;0,16;11
M;0,52;0,45;0,15;12,53;0,36;0,19;0,24;14
M;0,35;0,28;0,11;13,32;0,12;0,06;0,09;8
M;0,47;0,39;0,15;13,53;0,22;0,09;0,26;9
F;0,45;0,36;0,13;13,33;0,2;0,1;0,17;13
F;0,64;0,53;0,22;11,44;0,45;0,29;0,55;22
M;0,59;0,5;0,2;1,29;0,41;0,27;0,37;16
M;0,62;0,49;0,21;1,28;0,39;0,25;0,39;14
M;0,63;0,51;0,23;13,08;0,56;0,33;0,45;15
M;0,63;0,52;0,16;11,79;0,41;0,2;0,41;13
M;0,66;0,54;0,22;1,38;0,74;0,33;0,59;22
F;0,66;0,53;0,19;14,07;0,49;0,25;0,49;12
M;0,61;0,5;0,24;14,03;0,53;0,33;0,69;18
M;0,64;0,53;0,21;15,18;0,55;0,31;0,43;20
F;0,52;0,43;0,14;1,39;0,27;0,16;0,25;11
F;0,54;0,42;0,19;12,21;0,31;0,16;0,3;15
I;0,36;0,29;0,11;1,64;0,09;0,06;0,08;7
F;0,46;0,36;0,12;1,56;0,18;0,1;0,15;9
M;0,49;0,4;0,14;14,33;0,23;0,13;0,23;14
M;0,52;0,38;0,18;13,39;0,33;0,16;0,31;14
F;0,54;0,42;0,17;12,47;0,3;0,2;0,29;10
M;0,53;0,44;0,16;1,21;0,29;0,16;0,21;10
F;0,5;0,4;0,16;1,3;0,24;0,13;0,21;17
M;0,44;0,36;0,13;16,79;0,13;0,08;0,19;9
F;0,54;0,44;0,16;1,62;0,32;0,18;0,24;10
M;0,54;0,44;0,18;1,49;0,38;0,23;0,33;17
F;0,57;0,51;0,21;16,53;0,5;0,28;0,36;12
M;0,61;0,48;0,17;1,53;0,43;0,22;0,32;15
F;0,57;0,46;0,18;15,91;0,34;0,21;0,35;19
M;0,6;0,5;0,2;16,28;0,38;0,19;0,38;26
I;0,3;0,22;0,09;13,7;0,05;0,03;0,04;6
I;0,28;0,21;0,08;16,09;0,05;0,03;0,04;6
I;0,28;0,21;0,09;1,59;0,04;0,03;0,03;4
M;0,49;0,4;0,14;18,38;0,22;0,13;0,15;11
M;0,37;0,28;0,11;1,61;0,09;0,06;0,08;9
F;0,41;0,31;0,1;17,01;0,15;0,09;0,1;9
F;0,54;0,44;0,18;1,87;0,32;0,17;0,34;13
M;0,37;0,28;0,1;18,39;0,11;0,06;0,07;8
M;0,36;0,27;0,1;1,69;0,09;0,05;0,07;6
F;0,47;0,36;0,13;2,2;0,18;0,11;0,15;10
I;0,2;0,15;0,06;19,53;0,01;0,01;0,01;4
I;0,17;0,12;0,03;2,56;0,01;0,01;0,01;3
M;0,65;0,52;0,24;2,3;0,47;0,37;0,54;13
M;0,55;0,41;0,13;1,02;0,25;0,16;0,2;14
M;0,57;0,44;0,15;10,1;0,39;0,24;0,28;10
F;0,63;0,49;0,19;10,38;0,46;0,31;0,39;21
M;0,56;0,44;0,14;1,07;0,44;0,2;0,27;14
M;0,6;0,46;0,2;10,23;0,46;0,32;0,35;19
F;0,62;0,47;0,2;1,11;0,38;0,27;0,44;23
M;0,63;0,49;0,18;1,86;0,43;0,29;0,46;23
I;0,45;0,36;0,11;10,03;0,19;0,07;0,14;8
F;0,64;0,54;0,19;10,27;0,58;0,25;0,39;14
M;0,45;0,35;0,1;11,92;0,15;0,1;0,12;10
F;0,58;0,46;0,16;11,03;0,32;0,14;0,32;18
I;0,33;0,26;0,1;10,17;0,07;0,03;0,06;6
I;0,27;0,21;0,06;11,78;0,04;0,02;0,03;5
I;0,19;0,15;0,04;11,18;0,02;0,01;0,02;4
M;0,39;0,31;0,1;11,84;0,11;0,08;0,1;11
I;0,27;0,21;0,07;1,06;0,04;0,04;0,04;5
M;0,34;0,27;0,11;10,15;0,09;0,06;0,08;7
I;0,36;0,28;0,09;13,31;0,1;0,05;0,08;7
I;0,32;0,26;0,1;1,05;0,07;0,04;0,07;7
M;0,51;0,4;0,13;10,57;0,27;0,17;0,21;12
M;0,36;0,3;0,11;1,03;0,09;0,05;0,1;8
I;0,36;0,28;0,09;10,2;0,09;0,04;0,09;8
M;0,5;0,38;0,16;11,13;0,21;0,16;0,2;12
F;0,4;0,33;0,12;13,75;0,13;0,06;0,1;8
I;0,3;0,22;0,08;12,07;0,05;0,04;0,04;5
I;0,24;0,18;0,04;11,33;0,03;0,02;0,02;5
F;0,74;0,6;0,2;12,65;0,6;0,41;0,71;16
M;0,62;0,47;0,19;11,57;0,57;0,32;0,36;11
M;0,6;0,48;0,19;1,37;0,4;0,27;0,33;14
M;0,59;0,45;0,19;11,35;0,47;0,28;0,43;16
M;0,62;0,48;0,19;1,46;0,6;0,33;0,33;13
F;0,57;0,45;0,2;1,2;0,41;0,25;0,29;15
M;0,58;0,46;0,15;1,42;0,58;0,23;0,3;14
F;0,62;0,51;0,21;1,35;0,48;0,26;0,48;14
M;0,62;0,47;0,19;1,36;0,58;0,31;0,32;12
F;0,51;0,38;0,18;12,98;0,23;0,15;0,17;12
F;0,46;0,43;0,16;13,65;0,3;0,15;0,24;8
M;0,49;0,39;0,14;17,03;0,28;0,22;0,18;13
F;0,53;0,42;0,16;1,52;0,27;0,17;0,28;9
I;0,34;0,26;0,08;1,45;0,08;0,06;0,06;6
I;0,38;0,31;0,12;1,58;0,09;0,07;0,09;8
M;0,61;0,48;0,15;15,54;0,56;0,25;0,28;14
F;0,61;0,5;0,19;1,75;0,54;0,29;0,25;8
F;0,59;0,45;0,17;2,27;0,33;0,16;0,27;22
M;0,57;0,46;0,14;16,47;0,45;0,21;0,25;12
M;0,58;0,46;0,17;1,22;0,41;0,26;0,22;9
M;0,64;0,52;0,17;1,65;0,51;0,29;0,34;16
M;0,7;0,58;0,21;20,05;0,74;0,49;0,58;20
M;0,68;0,53;0,19;16,76;0,69;0,34;0,4;13
F;0,65;0,53;0,19;2,1;0,7;0,39;0,4;18
M;0,75;0,59;0,22;19,97;0,93;0,47;0,7;17
F;0,69;0,55;0,18;1,19;0,75;0,39;0,49;16
M;0,61;0,49;0,18;1,98;0,48;0,29;0,35;18
F;0,59;0,47;0,15;18,8;0,39;0,25;0,34;12
F;0,65;0,53;0,18;2,12;0,61;0,3;0,45;20
F;0,6;0,48;0,15;1,93;0,41;0,27;0,3;16
F;0,62;0,5;0,18;2,24;0,5;0,3;0,35;12
M;0,63;0,52;0,16;2,51;0,42;0,24;0,36;19
M;0,58;0,47;0,15;20,07;0,44;0,17;0,27;11
F;0,58;0,46;0,12;2,66;0,48;0,27;0,27;10
M;0,63;0,49;0,18;1,22;0,46;0,28;0,32;12
F;0,69;0,56;0,22;1,08;0,68;0,3;0,47;17
F;0,65;0,55;0,17;14,4;0,66;0,35;0,42;16
F;0,66;0,57;0,2;1,17;0,69;0,33;0,5;16
F;0,68;0,58;0,2;10,51;0,59;0,45;0,6;19
F;0,7;0,58;0,17;11,14;0,51;0,31;0,42;14
M;0,69;0,52;0,15;1,41;0,46;0,29;0,4;13
F;0,68;0,55;0,2;1,07;0,68;0,37;0,61;20
M;0,63;0,49;0,19;1,19;0,49;0,34;0,29;11
F;0,59;0,45;0,16;1,03;0,5;0,29;0,25;10
M;0,57;0,47;0,18;11,32;0,39;0,18;0,37;15
F;0,61;0,5;0,19;1,01;0,37;0,31;0,33;12
M;0,61;0,47;0,18;1,24;0,38;0,28;0,39;15
M;0,54;0,42;0,15;1,08;0,33;0,19;0,25;10
M;0,49;0,4;0,14;10,84;0,31;0,14;0,2;10
M;0,47;0,38;0,12;1,24;0,23;0,12;0,2;12
M;0,55;0,43;0,14;10,27;0,37;0,21;0,24;10
F;0,46;0,37;0,11;1,14;0,22;0,12;0,14;9
M;0,54;0,42;0,16;1;0,35;0,15;0,22;12
M;0,46;0,38;0,14;1,13;0,21;0,12;0,15;10
M;0,49;0,42;0,13;1,05;0,24;0,14;0,22;14
I;0,47;0,38;0,12;1,02;0,22;0,12;0,14;9
I;0,42;0,33;0,1;1,13;0,15;0,06;0,11;10
M;0,48;0,38;0,13;1,12;0,28;0,12;0,18;10
F;0,47;0,38;0,13;1,12;0,25;0,14;0,18;10
I;0,37;0,3;0,1;12,82;0,11;0,05;0,08;9
I;0,35;0,28;0,1;12,56;0,08;0,05;0,07;6
I;0,39;0,31;0,1;1,29;0,12;0,06;0,12;11
F;0,5;0,4;0,14;11,3;0,32;0,18;0,24;10
M;0,47;0,38;0,15;1,08;0,24;0,14;0,19;8
M;0,54;0,44;0,15;1,26;0,26;0,14;0,26;12
M;0,59;0,46;0,15;12,04;0,44;0,21;0,31;11
F;0,49;0,37;0,12;13,21;0,27;0,13;0,18;9
M;0,52;0,46;0,14;1,27;0,3;0,16;0,24;9
F;0,44;0,33;0,11;1,06;0,18;0,1;0,16;7
F;0,52;0,42;0,14;10,61;0,31;0,15;0,2;10
I;0,44;0,35;0,12;1,09;0,17;0,08;0,11;7
F;0,53;0,44;0,15;1,1;0,37;0,2;0,24;12
M;0,45;0,36;0,12;14,6;0,21;0,1;0,15;8
M;0,59;0,49;0,12;1,21;0,39;0,18;0,29;16
M;0,56;0,45;0,15;11,94;0,4;0,25;0,29;11
M;0,57;0,44;0,1;1,52;0,34;0,22;0,24;8
M;0,59;0,5;0,17;13,14;0,46;0,24;0,34;15
M;0,59;0,48;0,12;11,84;0,41;0,21;0,28;14
F;0,58;0,46;0,12;1,4;0,46;0,24;0,28;11
M;0,55;0,44;0,12;15,08;0,35;0,17;0,24;12
F;0,61;0,5;0,17;1,66;0,53;0,25;0,39;14
F;0,62;0,47;0,14;15,37;0,36;0,22;0,36;15
F;0,63;0,5;0,17;1,54;0,56;0,27;0,4;20
M;0,63;0,52;0,17;1,57;0,49;0,35;0,45;20
F;0,63;0,5;0,16;13,6;0,37;0,2;0,36;16
M;0,55;0,41;0,14;16,45;0,22;0,16;0,24;13
F;0,67;0,54;0,17;14,55;0,52;0,36;0,51;14
I;0,49;0,38;0,12;13,59;0,22;0,14;0,16;11
F;0,49;0,39;0,14;1,55;0,25;0,12;0,2;13
I;0,29;0,23;0,07;1,34;0,04;0,02;0,04;8
I;0,26;0,2;0,07;1,49;0,04;0,02;0,03;6
M;0,58;0,45;0,18;15,62;0,43;0,2;0,32;13
F;0,61;0,49;0,17;10,15;0,39;0,24;0,33;18
M;0,6;0,5;0,16;17,38;0,4;0,17;0,33;19
F;0,56;0,46;0,13;17,93;0,34;0,13;0,38;21
F;0,58;0,45;0,17;17,64;0,38;0,17;0,39;18
F;0,57;0,45;0,18;1,56;0,38;0,17;0,3;18
M;0,6;0,47;0,16;2,14;0,44;0,2;0,33;20
M;0,57;0,46;0,17;15,35;0,34;0,16;0,32;18
M;0,55;0,42;0,14;1,61;0,25;0,13;0,26;22
I;0,44;0,35;0,1;19,34;0,12;0,09;0,12;13
